name,games,minutes,goals,assists,goals_pens,goals_per90,assists_per90,goals_pens_per90,xg,npxg,xa,xg_per90,xa_per90,npxg_per90,passes_completed,passes,passes_completed_short,passes_short,passes_completed_medium,passes_medium,passes_completed_long,passes_long,progressive_passes,gca,tackles,dribble_tackles,pressures,blocks,interceptions,clearances,touches_att_pen_area,dribbles_completed,progressive_carries,progressive_passes_received,crosses,tackles_won,aerials_won
Nélson Oliveira,37,"2,512",8,1,7,0.29,0.04,0.25,,,,,,,,,,,,,,,,,,,,,3,,,,,,13,13,
Alexander Tettey,23,"1,926",0,1,0,0.00,0.05,0.00,,,,,,,,,,,,,,,,,,,,,31,,,,,,1,14,
Jamal Lewis,22,"1,794",0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,23,,,,,,22,29,
Tom Trybull,20,"1,424",2,0,2,0.13,0.00,0.13,,,,,,,,,,,,,,,,,,,,,45,,,,,,0,32,
Marco Stiepermann,0,"","","","","","","",,,,,,,,,,,,,,,,,,,,,30,,,,,,28,32,
Wes Hoolahan,29,"1,356",1,3,1,0.07,0.20,0.07,,,,,,,,,,,,,,,,,,,,,7,,,,,,53,12,
James Husband,18,"1,150",0,1,0,0.00,0.08,0.00,,,,,,,,,,,,,,,,,,,,,21,,,,,,20,19,
Marley Watkins,24,"1,220",0,1,0,0.00,0.07,0.00,,,,,,,,,,,,,,,,,,,,,2,,,,,,19,13,
Moritz Leitner,12,862,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,11,,,,,,23,10,
Dennis Srbeny,14,601,1,0,1,0.15,0.00,0.15,,,,,,,,,,,,,,,,,,,,,0,,,,,,2,9,
Onel Hernández,17,"1,225",1,1,1,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,7,,,,,,32,21,
Marcel Franke,16,"1,440",0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,16,,,,,,3,16,
Russell Martin,15,"1,350",1,0,1,0.07,0.00,0.07,,,,,,,,,,,,,,,,,,,,,"",,,,,,"","",
Steven Naismith,14,"1,111",4,2,4,0.32,0.16,0.32,,,,,,,,,,,,,,,,,,,,,"",,,,,,"","",
Sean Raggett,25,"2,250",2,0,2,0.08,0.00,0.08,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Marcus Edwards,1,7,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Todd Cantwell,0,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Godfrey,40,"3,014",1,0,1,0.03,0.00,0.03,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Michael McGovern,0,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Phillips,4,261,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,"",,,,,,"","",
Adam Reach,46,"4,063",4,11,4,0.09,0.24,0.09,,,,,,,,,,,,,,,,,,,,,67,,,,,,168,47,
Tom Lees,29,"2,565",1,1,1,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,39,,,,,,2,10,
Barry Bannan,29,"2,451",0,3,0,0.00,0.11,0.00,,,,,,,,,,,,,,,,,,,,,35,,,,,,64,30,
Jack Hunt,29,"2,375",0,4,0,0.00,0.15,0.00,,,,,,,,,,,,,,,,,,,,,35,,,,,,123,28,
Morgan Fox,28,"2,201",0,1,0,0.00,0.04,0.00,,,,,,,,,,,,,,,,,,,,,14,,,,,,91,34,
Joe Wildsmith,26,"2,307",0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Daniel Pudil,27,"2,138",0,1,0,0.00,0.04,0.00,,,,,,,,,,,,,,,,,,,,,36,,,,,,10,19,
Ross Wallace,27,"1,940",2,2,2,0.09,0.09,0.09,,,,,,,,,,,,,,,,,,,,,8,,,,,,155,10,
Gary Hooper,24,"1,924",10,3,9,0.47,0.14,0.42,,,,,,,,,,,,,,,,,,,,,4,,,,,,15,4,
David Jones,27,"1,792",1,1,1,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,12,,,,,,16,21,
Frederico Venâncio,2,180,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,4,,,,,,0,1,
Glenn Loovens,20,"1,462",0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,36,,,,,,1,16,
Keiren Westwood,18,"1,563",0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,1,
Lucas João,31,"1,768",9,3,9,0.46,0.15,0.46,,,,,,,,,,,,,,,,,,,,,6,,,,,,6,11,
Jordan Rhodes,31,"1,594",5,2,4,0.28,0.11,0.23,,,,,,,,,,,,,,,,,,,,,2,,,,,,9,7,
Joey Pelupessy,18,"1,587",0,1,0,0.00,0.06,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Liam Palmer,25,"1,599",0,2,0,0.00,0.11,0.00,,,,,,,,,,,,,,,,,,,,,24,,,,,,79,21,
Atdhe Nuhiu,28,"1,458",11,5,9,0.68,0.31,0.56,,,,,,,,,,,,,,,,,,,,,6,,,,,,12,15,
Joost van Aken,2,180,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,"",,,,,,"","",
George Boyd,20,"1,242",2,0,2,0.14,0.00,0.14,,,,,,,,,,,,,,,,,,,,,16,,,,,,31,29,
Steven Fletcher,19,"1,064",2,1,2,0.17,0.08,0.17,,,,,,,,,,,,,,,,,,,,,9,,,,,,6,6,
Kieran Lee,15,"1,006",3,1,3,0.27,0.09,0.27,,,,,,,,,,,,,,,,,,,,,9,,,,,,50,13,
Jordan Thorniley,14,"1,165",0,1,0,0.00,0.08,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Sam Hutchinson,8,506,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,15,,,,,,5,13,
Fernando Forestieri,10,559,5,0,5,0.81,0.00,0.81,,,,,,,,,,,,,,,,,,,,,4,,,,,,6,9,
Sean Clare,21,"1,714",1,2,1,0.05,0.11,0.05,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Cameron Dawson,2,180,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Jack Stobbs,5,97,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Marco Matias,9,196,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,3,,,,,,4,2,
Almen Abdi,4,160,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,7,3,
Ash Baker,1,83,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,3,
