sofifa_id,predict_value
215330,4177506.1519793146
216201,42071688.28872226
216409,29469476.736992825
216475,21028152.263234533
217940,33850865.46716535
220093,26157539.595828548
220407,13907490.818125881
221363,47013558.773553096
221479,47860816.42729875
221992,34368783.095125735
223952,28713949.568479165
224081,41246625.821709
224411,55619038.39306338
225375,38487160.31975339
226110,38368397.34138939
226166,40017726.78693684
226226,46053924.44610445
227127,37106335.67907023
227950,39155324.21962227
228251,43807182.532313876
230225,29288321.859379712
230256,27336104.95439608
230258,34296838.96139661
230294,31504141.727698904
230347,33729589.267712995
230430,28863244.405583322
231969,27724318.37545187
232411,45192852.902150996
233927,49737828.59425975
234153,77864113.50681545
234742,45547120.66425401
234906,49600611.64656643
235374,26619141.956839565
238074,46547935.60792655
239231,57752281.773995586
240950,75485108.53840578
241852,65532622.364914685
245279,42350737.02470338
247263,60797477.68221826
247394,71043360.43979958
251573,51634531.012291364
251854,80931637.26248792
1179,-3023381.575664242
140233,677835.7944535956
148119,-1114943.225879153
162347,8325616.10072936
169588,10302457.336231291
171579,12124672.143297452
171877,14856180.30346149
172522,18183780.73613026
173426,3405465.226047574
176676,10936705.162236344
177388,9423622.543214744
177509,6189747.009910301
177604,6757734.144850234
178518,9848056.130148089
182493,3092550.393064257
182494,-537927.9107523877
183855,10323618.349430444
184941,14955718.458820475
185020,7880301.22521995
186561,19035094.404084142
187598,17871709.62035663
189117,12633171.372942977
189271,25900728.587645367
189690,1830661.302557166
190972,17740733.30649117
193061,22622296.936295044
196432,3330467.427170996
197225,13784148.928165166
197242,1748589.5134493455
198009,18680841.82601455
198031,26418609.722760472
198141,22126049.407232285
198950,2432614.1246535536
198951,19478094.9016502
199042,12714452.760981634
199254,23092666.798819482
201119,20085827.87738373
201143,27345607.778901387
201400,24123292.321034215
201922,18695501.754244577
202024,21599320.103081904
202166,29516141.55572244
202325,18485626.21393008
203890,23532325.241324473
203895,19082997.316701405
203980,28216327.8693256
204399,10668375.194816537
204970,21522180.186414048
205600,23577084.116233684
205686,25722052.70794597
205693,21897159.985270336
205705,18323905.868526235
205849,16488328.379687872
207599,24511321.47050002
207732,26418346.629196398
207877,19560520.03142622
208808,19205598.488374043
209519,30526767.539202284
209960,25147980.106118016
210455,27052160.15738935
211117,32850591.313373737
212151,24037596.505673066
212187,20358203.216174297
212814,26061889.18647102
213661,34558875.30142543
214584,1578090.9782353877
